SR_NUM_1,SR_NUM_2,SITE_NAME_1,SITE_NAME_2,SITE_NAME_COMPARISON_SCORE,STATE_1,STATE_2,STATE_COMPARISON_SCORE,CITY_1,CITY_2,CITY_COMPARISON_SCORE,CONCAT_ADDRESS_1,CONCAT_ADDRESS_2,CONCAT_ADDRESS_COMPARISON_SCORE,POSTAL_CODE_1,POSTAL_CODE_2,POSTAL_CODE_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND
13554,13553,Gazi University Medical Faculty Gazi Hospital,Gazi University Medical Faculty Gazi Hospital,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Bahriye Ucok Main StreetHematoloji Bilim Dali,Bahriye Ucok Main StreetHematology Department,0.0,06500,06500,1.0,4.0
13555,13555,Gazi University Medical Faculty Gazi Hospital,Gazi University Medical Faculty Gazi Hospital,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Bahriye Ucok Main Street,Bahriye Ucok Main Street,3.0,06500,06500,1.0,7.0
13556,13555,Gazi University Medical Faculty Gazi Hospital,Gazi University Medical Faculty Gazi Hospital,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Bahriye Ucok Main Street,Bahriye Ucok Main Street,3.0,06500,06500,1.0,7.0
13557,13552,Gazi University Medical Faculty Gazi Hospital,Gazi University Faculty of Medicine,0.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,BesevlerIc hastaliklari Anabilim Dali Hematoloji Bilim Dali,BesevlerIc hastaliklari Anabilim Dali Hematoloji Bilim Dali,3.0,06500,06500,1.0,6.0
13558,13553,Gazi University Medical Faculty Gazi Hospital,Gazi University Medical Faculty Gazi Hospital,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Besevler,Bahriye Ucok Main StreetHematology Department,0.0,06500,06500,1.0,4.0
13559,13559,Ankara University Medica Faculty Hematology Department Clinical Research Area - PPDS,Ankara University Medica Faculty Hematology Department Clinical Research Area - PPDS,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,DikimeviCocuk Sagligi ve Hastaliklari AbDNeonatoloji BD,DikimeviCocuk Sagligi ve Hastaliklari AbDNeonatoloji BD,3.0,06590,06590,1.0,7.0
13560,13560,Ankara University Medical Faculty PPDS,Ankara University Medical Faculty PPDS,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Cebeci KampusuHematoloji Anabilim Dali,Cebeci KampusuHematoloji Anabilim Dali,3.0,06590,06590,1.0,7.0
13561,13560,Ankara University Medical Faculty PPDS,Ankara University Medical Faculty PPDS,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Tip Fakultesi Main Street,Cebeci KampusuHematoloji Anabilim Dali,0.0,06590,06590,1.0,4.0
13562,13560,Ankara University Medical Faculty PPDS,Ankara University Medical Faculty PPDS,1.0,Ankara,Ankara,1.0,Ankara,Ankara,1.0,Tip Fakultesi Main Street,Cebeci KampusuHematoloji Anabilim Dali,3.0,06590,06590,1.0,7.0
13563,13563,Akdeniz University Medical Faculty,Akdeniz University Medical Faculty,1.0,Antalya,Antalya,1.0,Antalya,Antalya,1.0,"Dumlupinar Bulvari, KampusHematology Dept","Dumlupinar Bulvari, KampusHematology Dept",3.0,07059,07059,1.0,7.0
13564,13564,Uludag University Medical Faculty,Uludag University Medical Faculty,1.0,Bursa,Bursa,1.0,Bursa,Bursa,1.0,Gorukle CampusGastroenterology Department,Gorukle CampusGastroenterology Department,3.0,16059,16059,1.0,7.0
13565,13564,Uludag University Medical Faculty,Uludag University Medical Faculty,1.0,Bursa,Bursa,1.0,Bursa,Bursa,1.0,Gorukle CampusGastroenterology Department,Gorukle CampusGastroenterology Department,3.0,16059,16059,1.0,7.0
13566,13564,Uludag University Medical Faculty,Uludag University Medical Faculty,1.0,Bursa,Bursa,1.0,Bursa,Bursa,1.0,Gorukle CampusGastroenterology Department,Gorukle CampusGastroenterology Department,3.0,16059,16059,1.0,7.0
