SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,rnum,CONCAT_ADDRESS
18717,CDM,PPD,TAK-071-2002,1-B8T8JCI,,United_States,duke neurological disorders clinic  morreene road,north carolina,durham,277054410,,3659,932 morreene rd
18719,CDM,PPD,SHP465-308,113,,United_States,triangle neuropsychiatry,north carolina,durham,27707,,3661,3713 university drive
18720,CDM,PPD,Pevonedistat-2001,58022,,United_States,duke cancer institute,north carolina,durham,27710,,3662,20 duke medicine circlesuite 9000
18722,CDM,PPD,Brigatinib-1002,1-61DKLJH,,United_States,duke childrens hospital and health center,north carolina,durham,27710,,3664,2301 erwin road
18724,CDM,IQVIA,TED-R13-002,0555,1-306PDCG,United_States,duke gastroenterology,durham,north carolina,27710,,3666,300 trent drive dumc box 3512
18725,CDM,IQVIA,SHP633-304,0434,1-2RJW121,United_States,duke medical center,durham,north carolina,27710,,3667,dumc 3522
18726,CDM,PPD,TAK-079-1005,1-5D85A8Y,,United_States,duke neurological disorders clinic,north carolina,durham,27710,,3668,40 duke medicine circledcru
18727,CDM,PRA,TAK-954-2004,58022,1-1NRZSVY,United_States,duke university,nc,durham,27710,,3669,dumc box 3094
18728,CDM,PPD,C16021,1-8JW06N,,United_States,duke university health system,north carolina,durham,27710,,3670,2400 pratt streetadult bone marrow transplant clinicsuite 9000
18729,CDM,IQVIA,281102,026,1-2VY14YA,United_States,duke university medical center,durham,north carolina,27710,,3671,2301 erwin roadduke university hospital
18733,CDM,PRA,AP24534-14-203,003,1-1FBMCNJ,United_States,duke university medical center,nc,durham,27710,,3675,30 duke medicine circleduke south white zone suite 25156dumc box 3872
18734,CDM,PPD,C16027,1-RZRR7C,,United_States,duke university medical center,north carolina,durham,27710,,3676,10 bryan searle drivesuite 9000
18760,CDM,PPD,C16014,1-C0N4F,,United_States,dumc palliative care clinical research,north carolina,durham,27710,,3702,box 343625162 morris building division of medical oncology department of medicine
18761,CDM,PPD,TAK-981-1502,1-719W5LX,,United_States,duke university medical center,north carolina,durham,277102000,,3703,20 duke medicine cirseeley g mudd buildingroom 433
18763,CDM,PPD,SHP647-306,1-25THN56,,United_States,boice willis clinic pa,north carolina,rocky mount,27804,,3705,901 n winstead avepo box 7200
18770,CDM,PPD,SHP647-301,1-205DFQA,,United_States,legato medical systems inc,north carolina,rocky mount,27804,,3712,120 roundabout court
18777,CDM,PPD,SHP647-305,1-XE2Z5N,,United_States,pmg research of rocky mount,north carolina,rocky mount,27804,,3719,901 north winstead avenueresearch department
18781,CDM,PPD,TAK-981-1502,1-6TY38N1,,United_States,southeastern medical oncology center,north carolina,rocky mount,27804,,3723,2460 curtis ellis drive
