SR_NUM_1,SR_NUM_2,SITE_NAME_COMPARISON_SCORE,STATE_COMPARISON_SCORE,CITY_COMPARISON_SCORE,POSTAL_CODE_COMPARISON_SCORE,CONCAT_ADDRESS_COMPARISON_SCORE,NUM_OF_MATCHES_FOUND,COUNTRY
1975,1970,1,1,1,1,3,7,Austria
1976,1970,1,1,1,1,3,7,Austria
1978,1977,1,1,1,1,3,7,Austria
1981,1979,1,1,1,1,3,7,Austria
1980,1979,1,1,1,1,0,4,Austria
1983,1982,1,1,1,1,3,7,Austria
1995,1982,0,1,1,0,3,5,Austria
1986,1985,1,1,1,1,3,7,Austria
1988,1985,1,1,1,1,3,7,Austria
1992,1985,0,1,1,1,3,6,Austria
1987,1985,1,1,1,1,0,4,Austria
1990,1989,1,1,1,1,0,4,Austria
2000,1997,1,1,1,1,3,7,Austria
1998,1997,1,1,1,1,0,4,Austria
1999,1997,1,1,1,1,0,4,Austria
2002,1997,1,1,1,1,0,4,Austria
2001,1997,1,1,1,1,3,7,Austria
2005,2003,1,1,1,1,3,7,Austria
2006,2003,1,1,1,1,3,7,Austria
2007,2003,1,1,1,1,3,7,Austria
2009,2003,1,1,1,1,3,7,Austria
2004,2003,1,1,1,1,0,4,Austria
2010,2003,1,1,1,1,3,7,Austria
2011,2003,1,1,1,1,3,7,Austria
2012,2003,1,1,1,1,3,7,Austria
2013,2003,1,1,1,1,3,7,Austria
2014,2008,1,1,1,1,3,7,Austria
2017,2016,1,1,1,1,3,7,Austria
2018,2016,1,1,1,1,3,7,Austria
2019,2016,1,1,1,1,3,7,Austria
2021,2016,1,1,1,1,3,7,Austria
2020,2016,1,1,1,1,0,4,Austria
2123,2016,0,0,1,0,3,4,Austria
2022,2016,1,1,1,1,3,7,Austria
2024,2023,1,1,1,1,3,7,Austria
2025,2023,1,1,1,1,3,7,Austria
2026,2023,1,1,1,1,3,7,Austria
2029,2028,1,1,1,1,3,7,Austria
2030,2028,1,1,1,1,3,7,Austria
2033,2028,0,1,1,1,3,6,Austria
2040,2031,0,1,1,1,3,6,Austria
2035,2032,1,1,1,1,3,7,Austria
2036,2032,1,1,1,1,3,7,Austria
2037,2032,1,1,1,1,3,7,Austria
2034,2032,1,1,1,1,0,4,Austria
2038,2032,1,1,1,1,3,7,Austria
2041,2039,1,1,1,1,0,4,Austria
2043,2042,1,1,1,1,3,7,Austria
2047,2045,1,1,1,1,3,7,Austria
2046,2045,1,1,1,1,0,4,Austria
2048,2045,1,1,1,1,0,4,Austria
2055,2050,1,1,1,1,3,7,Austria
2062,2050,1,1,1,1,3,7,Austria
2063,2050,1,1,1,1,3,7,Austria
2053,2050,1,1,1,1,0,4,Austria
2059,2050,1,1,1,1,0,4,Austria
2064,2050,1,1,1,1,0,4,Austria
2052,2051,1,1,1,1,3,7,Austria
2056,2051,1,1,1,1,3,7,Austria
2058,2051,1,1,1,1,3,7,Austria
2061,2051,1,1,1,1,3,7,Austria
2054,2050,1,1,1,1,3,7,Austria
2057,2050,1,1,1,1,3,7,Austria
2060,2050,1,1,1,1,3,7,Austria
2067,2065,1,1,1,1,3,7,Austria
2068,2065,1,1,1,1,3,7,Austria
2069,2066,1,1,1,1,3,7,Austria
2071,2070,1,1,1,1,3,7,Austria
2073,2072,1,1,1,1,3,7,Austria
2077,2076,1,1,1,1,3,7,Austria
2079,2078,1,1,1,1,3,7,Austria
2080,2078,1,1,1,1,3,7,Austria
2081,2078,1,1,1,1,3,7,Austria
2082,2078,1,1,1,1,3,7,Austria
2083,2078,1,1,1,1,3,7,Austria
2084,2078,1,1,1,1,3,7,Austria
2085,2078,1,1,1,1,0,4,Austria
2086,2078,1,1,1,1,3,7,Austria
